epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
269,0.7032,0.6352,0.6379,0.6537,1.2943,0.9005,0.0002976,83767,,,
270,0.6984,1.0217,0.8393,0.6519,1.2974,0.8995,0.0002976,84107,0.6629,1.2610,0.8886
271,0.7013,1.0022,0.7600,0.6523,1.2978,0.8987,0.0002976,84408,,,
272,0.7041,1.2321,0.9749,0.6547,1.2988,0.8979,0.0002976,84710,,,
273,0.7032,0.9695,0.7238,0.6545,1.3005,0.8980,0.0002976,85011,,,
274,0.6976,0.9494,0.7789,0.6563,1.3010,0.8978,0.0002976,85312,,,
275,0.7012,0.9283,0.7491,0.6527,1.3010,0.8970,0.0002976,85613,,,
276,0.7098,1.2442,0.8760,0.6549,1.3003,0.8958,0.0002198,85914,,,
277,0.7050,0.7032,0.6484,0.6539,1.3006,0.8964,0.0002198,86215,,,
278,0.7148,0.7855,0.6547,0.6507,1.3009,0.8973,0.0002198,86517,,,
279,0.7115,1.3965,0.9396,0.6511,1.3009,0.8976,0.0002198,86818,,,
280,0.7123,0.8225,0.6454,0.6531,1.3010,0.8972,0.0002198,87159,0.6617,1.2576,0.8844
281,0.7155,0.6045,0.4944,0.6511,1.3026,0.8971,0.0002198,87460,,,
282,0.7050,1.1765,0.8946,0.6521,1.3021,0.8966,0.0002198,87762,,,
283,0.7093,0.8624,0.6456,0.6513,1.3030,0.8965,0.0002198,88064,,,
284,0.7094,0.8114,0.6709,0.6501,1.3048,0.8955,0.0002198,88365,,,
285,0.7151,0.8708,0.7107,0.6501,1.3048,0.8955,0.0002198,88667,,,
286,0.7000,0.9776,0.7881,0.6511,1.3040,0.8953,0.0002198,88969,,,
287,0.7118,0.8832,0.7566,0.6523,1.3041,0.8952,0.0002198,89271,,,
288,0.7052,1.0710,0.8205,0.6519,1.3066,0.8953,0.0002198,89573,,,
289,0.7175,1.1714,0.8169,0.6523,1.3090,0.8956,0.0002198,89874,,,
290,0.7136,1.0505,0.8665,0.6537,1.3100,0.8961,0.0002198,90216,0.6619,1.2624,0.8816
291,0.7135,1.2181,0.8357,0.6533,1.3092,0.8966,0.0001623,90521,,,
292,0.7201,1.1133,0.8281,0.6533,1.3106,0.8968,0.0001623,90823,,,
293,0.7208,0.8455,0.6458,0.6535,1.3113,0.8963,0.0001623,91126,,,
294,0.7213,0.8882,0.7580,0.6551,1.3113,0.8964,0.0001623,91428,,,
295,0.7226,0.8403,0.7161,0.6561,1.3113,0.8957,0.0001623,91730,,,
296,0.7241,0.9976,0.7687,0.6553,1.3115,0.8950,0.0001623,92032,,,
297,0.7285,1.0529,0.7910,0.6529,1.3139,0.8950,0.0001623,92334,,,
298,0.7256,0.9802,0.7526,0.6537,1.3128,0.8943,0.0001623,92636,,,
299,0.7151,0.7625,0.6617,0.6549,1.3113,0.8934,0.0001623,92939,,,
300,0.7228,1.1215,0.8006,0.6545,1.3105,0.8926,0.0001623,93280,0.6595,1.2778,0.8830
